id, minutes, ingredients, simple
383843, 210, 13, 0
361099, 15, 6, 0
463861, 50, 11, 0
26686, 30, 8, 0
52157, 50, 10, 0
318735, 26, 12, 0
369159, 35, 9, 0
103366, 120, 18, 0
222074, 60, 13, 0
238697, 45, 9, 0
391680, 500, 13, 0
104760, 30, 5, 0
126465, 25, 11, 0
139343, 75, 12, 0
429506, 100, 9, 0
299228, 60, 17, 0
407342, 40, 10, 0
135516, 70, 12, 0
29005, 425, 4, 0
430518, 30, 9, 0
470973, 180, 20, 0
34395, 5, 7, 0
41654, 55, 9, 0
290823, 20, 9, 0
152928, 15, 7, 0
11567, 40, 10, 0
42699, 20, 10, 0
20567, 25, 10, 0
195618, 20, 5, 1
279649, 362, 6, 0
242108, 40, 4, 0
42926, 30, 6, 0
158480, 75, 12, 0
272649, 20, 10, 0
105520, 18, 7, 0
137622, 40, 7, 0
454119, 10, 4, 1
169422, 45, 7, 0
296122, 50, 13, 0
408712, 15, 13, 0
211928, 55, 17, 0
51830, 225, 6, 0
212608, 22, 9, 0
15229, 135, 9, 0
216527, 45, 10, 0
423393, 80, 5, 0
503314, 20, 7, 0
162758, 60, 4, 0
155837, 45, 9, 0
270542, 5, 4, 1
460833, 80, 16, 0
116294, 30, 15, 0
176951, 45, 12, 0
212025, 750, 5, 0
446188, 25, 5, 0
18310, 10, 9, 0
118207, 490, 5, 0
101637, 15, 6, 0
308905, 5, 7, 0
74758, 65, 7, 0
202615, 155, 8, 0
258854, 10320, 13, 0
110347, 2, 5, 1
29533, 40, 13, 0
11644, 45, 8, 0
181035, 80, 18, 0
164879, 85, 11, 0
148817, 195, 13, 0
423178, 20, 9, 0
252362, 55, 8, 0
461048, 5, 12, 0
520603, 33, 9, 0
350655, 105, 9, 0
223668, 4, 3, 1
255452, 15, 6, 0
126410, 2, 4, 1
231605, 35, 12, 0
62545, 57, 15, 0
277814, 150, 10, 0
104880, 65, 7, 0
298235, 45, 12, 0
484102, 20, 8, 0
81957, 30, 13, 0
363343, 30, 15, 0
311859, 30, 8, 0
81318, 55, 12, 0
147671, 145, 8, 0
78674, 38, 12, 0
53640, 35, 12, 0
293755, 5, 7, 0
423484, 25, 12, 0
343565, 90, 20, 0
304790, 45, 13, 0
35083, 105, 9, 0
432319, 40, 10, 0
297272, 10, 4, 1
285373, 2, 5, 1
105252, 55, 10, 0
420551, 40, 9, 0
366949, 80, 11, 0
447728, 40, 14, 0
395963, 20, 10, 0
110332, 75, 5, 0
36495, 210, 15, 0
91965, 27, 10, 0
111343, 10, 11, 0
143679, 12, 6, 0
366715, 45, 12, 0
196250, 38, 8, 0
176228, 615, 4, 0
171252, 35, 7, 0
183262, 1500, 10, 0
149747, 120, 10, 0
252200, 205, 6, 0
362820, 15, 5, 1
166775, 20, 12, 0
272862, 50, 6, 0
106179, 35, 7, 0
381156, 90, 7, 0
113557, 30, 11, 0
118540, 17, 8, 0
314974, 315, 13, 0
91050, 1560, 11, 0
180073, 20, 5, 1
354726, 30, 11, 0
423430, 20, 9, 0
144591, 10, 4, 1
129170, 60, 8, 0
224312, 15, 5, 1
418474, 165, 6, 0
400563, 75, 17, 0
152357, 65, 10, 0
29828, 15, 6, 0
353583, 45, 11, 0
362960, 70, 11, 0
52950, 80, 12, 0
84021, 20, 11, 0
201316, 40, 6, 0
276596, 495, 8, 0
147295, 25, 9, 0
240086, 15, 6, 0
134805, 35, 10, 0
120835, 5, 3, 1
151741, 60, 15, 0
223780, 30, 9, 0
78183, 55, 14, 0
352940, 1, 3, 1
192188, 55, 6, 0
79030, 33, 8, 0
111496, 35, 8, 0
56301, 60, 8, 0
248905, 30, 7, 0
356517, 18, 4, 1
17449, 20, 8, 0
330168, 70, 14, 0
9751, 7, 4, 1
98774, 50, 6, 0
75601, 6, 8, 0
44999, 10, 3, 1
142819, 50, 10, 0
60955, 20, 8, 0
367812, 25, 11, 0
216748, 120, 21, 0
324124, 10, 8, 0
482024, 30, 11, 0
189687, 380, 18, 0
163352, 65, 11, 0
105309, 20, 10, 0
318455, 40, 14, 0
196260, 75, 13, 0
52631, 60, 10, 0
383988, 5, 5, 1
129835, 25, 9, 0
39732, 105, 11, 0
9156, 30, 8, 0
533718, 34, 15, 0
7975, 2, 7, 0
136457, 40, 8, 0
39985, 2, 2, 1
377083, 50, 7, 0
134242, 150, 18, 0
140210, 62, 9, 0
153719, 495, 9, 0
95900, 120, 9, 0
136845, 85, 9, 0
345275, 50, 10, 0
321751, 35, 4, 0
183365, 15, 7, 0
164538, 12, 6, 0
116258, 50, 10, 0
219873, 15, 13, 0
62547, 17, 7, 0
381109, 25, 9, 0
47249, 1, 8, 0
248411, 30, 8, 0
479895, 30, 13, 0
11992, 81, 17, 0
516546, 27, 7, 0
224636, 40, 7, 0
180943, 35, 10, 0
31626, 195, 13, 0
472899, 110, 4, 0
204698, 190, 6, 0
55237, 60, 11, 0
81586, 60, 5, 0
390084, 20, 4, 1
119066, 10, 5, 1
150244, 40, 15, 0
254202, 30, 13, 0
85523, 27, 11, 0
165625, 30, 15, 0
18800, 270, 17, 0
9325, 1, 10, 0
422167, 45, 8, 0
236938, 25, 6, 0
189785, 5, 7, 0
333400, 20, 5, 1
181959, 145, 16, 0
166130, 225, 13, 0
311454, 33, 12, 0
103435, 5, 5, 1
209175, 25, 14, 0
370394, 50, 12, 0
248469, 75, 4, 0
339478, 90, 10, 0
74068, 150, 9, 0
198908, 140, 12, 0
71966, 35, 13, 0
427534, 22, 7, 0
266014, 40, 5, 0
36400, 90, 8, 0
59627, 60, 10, 0
116392, 70, 14, 0
441056, 21, 7, 0
260023, 70, 11, 0
179706, 183, 8, 0
170226, 60, 19, 0
195432, 25, 9, 0
308209, 45, 11, 0
180438, 30, 15, 0
53823, 95, 19, 0
3116, 90, 24, 0
419771, 39, 11, 0
25776, 75, 10, 0
320274, 50, 8, 0
317184, 30, 7, 0
232123, 85, 10, 0
229261, 60, 14, 0
113400, 20, 12, 0
20959, 270, 11, 0
57622, 320, 8, 0
108713, 30, 15, 0
298243, 10, 6, 0
383349, 40, 11, 0
82863, 45, 10, 0
235939, 105, 9, 0
355615, 5, 5, 1
24517, 75, 12, 0
223878, 250, 6, 0
25231, 20, 8, 0
87443, 65, 7, 0
239126, 25, 5, 0
353148, 32, 10, 0
215108, 20, 6, 0
384474, 10, 8, 0
365879, 25, 8, 0
487806, 65, 21, 0
221642, 23, 3, 0
58995, 10, 5, 1
3201, 75, 10, 0
108889, 50, 11, 0
46974, 18, 5, 1
154814, 30, 12, 0
108157, 25, 13, 0
367434, 40, 8, 0
69049, 50, 11, 0
501151, 10, 11, 0
150016, 75, 9, 0
148648, 80, 11, 0
271121, 60, 12, 0
21199, 30, 8, 0
133975, 100, 6, 0
146546, 13, 3, 1
55041, 15, 7, 0
45603, 5, 6, 0
31890, 57, 10, 0
311429, 50, 4, 0
307722, 45, 6, 0
257317, 30, 9, 0
365227, 20, 12, 0
281384, 20, 3, 1
138510, 255, 5, 0
394156, 115, 11, 0
421345, 10, 6, 0
368155, 45, 11, 0
253113, 40, 7, 0
244054, 20, 8, 0
369649, 30, 6, 0
367782, 15, 11, 0
313208, 495, 18, 0
322225, 75, 14, 0
215631, 65, 8, 0
515142, 21, 5, 0
60914, 25, 8, 0
59467, 150, 11, 0
296953, 40, 16, 0
122464, 40, 14, 0
97873, 135, 9, 0
468972, 45, 11, 0
69320, 10, 10, 0
227111, 10, 5, 1
137167, 5, 3, 1
503664, 70, 10, 0
289753, 35, 6, 0
456475, 15, 6, 0
264945, 3, 3, 1
156354, 30, 4, 0
482670, 63, 12, 0
14807, 19, 7, 0
203648, 30, 18, 0
11070, 30, 6, 0
26220, 25, 5, 0
298230, 37, 4, 0
58921, 75, 10, 0
330073, 55, 9, 0
92712, 200, 12, 0
108469, 10, 4, 1
94265, 40, 6, 0
129224, 25, 9, 0
245817, 185, 7, 0
182353, 65, 11, 0
497326, 45, 4, 0
319486, 30, 6, 0
425157, 25, 19, 0
69111, 55, 7, 0
358814, 10, 3, 1
200479, 35, 10, 0
433600, 25, 7, 0
513395, 60, 10, 0
163752, 60, 8, 0
421802, 10, 9, 0
45241, 55, 7, 0
265812, 50, 8, 0
459313, 9, 6, 0
505248, 75, 13, 0
443151, 85, 15, 0
213528, 5, 7, 0
112817, 90, 5, 0
175868, 35, 10, 0
279479, 15, 8, 0
133318, 27, 6, 0
8419, 10, 8, 0
416029, 30, 18, 0
402548, 45, 17, 0
415591, 45, 13, 0
48167, 55, 11, 0
103694, 15, 7, 0
240208, 10, 3, 1
147800, 45, 10, 0
372038, 625, 10, 0
340198, 100, 9, 0
94642, 35, 17, 0
248543, 45, 12, 0
158682, 10, 7, 0
410592, 14, 9, 0
248687, 5, 6, 0
496883, 35, 17, 0
460800, 190, 9, 0
390718, 20, 7, 0
423795, 90, 8, 0
436396, 40, 7, 0
33975, 6, 5, 1
189621, 3, 2, 1
174874, 25, 5, 0
392906, 25, 4, 0
129926, 45, 10, 0
226675, 40, 20, 0
150366, 210, 16, 0
93249, 13, 3, 1
241080, 30, 11, 0
57527, 35, 6, 0
99491, 15, 4, 1
74717, 20, 6, 0
320157, 20, 6, 0
68552, 21, 15, 0
188466, 10, 5, 1
42561, 25, 6, 0
270401, 70, 10, 0
213900, 30, 17, 0
471731, 50, 18, 0
196119, 10, 11, 0
48464, 40, 12, 0
157702, 35, 4, 0
11689, 50, 10, 0
468664, 60, 12, 0
470093, 120, 13, 0
412284, 35, 6, 0
15937, 60, 17, 0
78729, 45, 10, 0
217823, 35, 10, 0
207308, 30, 10, 0
93205, 10, 11, 0
146539, 70, 6, 0
400516, 9, 6, 0
371238, 600, 13, 0
465102, 35, 5, 0
83848, 50, 10, 0
388247, 30, 10, 0
271683, 120, 15, 0
306673, 46, 8, 0
369438, 125, 7, 0
7309, 33, 9, 0
221946, 50, 21, 0
168220, 32, 4, 0
23423, 95, 7, 0
241956, 50, 8, 0
212363, 30, 8, 0
359919, 10, 8, 0
11083, 57, 12, 0
345733, 190, 14, 0
377943, 40, 12, 0
129906, 27, 9, 0
142226, 140, 19, 0
301632, 35, 4, 0
278855, 50, 8, 0
257111, 70, 8, 0
271954, 240, 12, 0
28292, 25, 7, 0
134270, 60, 9, 0
134305, 50, 12, 0
374144, 25, 7, 0
431192, 40, 16, 0
11179, 50, 6, 0
238513, 12, 8, 0
133433, 210, 9, 0
69640, 10, 2, 1
254951, 2, 2, 1
90676, 45, 8, 0
471666, 20, 4, 1
135161, 25, 7, 0
22437, 15, 6, 0
144231, 200, 9, 0
39338, 15, 10, 0
283069, 35, 11, 0
104467, 30, 10, 0
306883, 12, 8, 0
158524, 95, 12, 0
247887, 12, 9, 0
429022, 65, 9, 0
353825, 60, 7, 0
51472, 15, 9, 0
493351, 20, 3, 1
88674, 75, 13, 0
216689, 45, 13, 0
335180, 5, 2, 1
92516, 25, 10, 0
130325, 10, 11, 0
296094, 29, 10, 0
302050, 20, 4, 1
62549, 30, 6, 0
99814, 25, 13, 0
73265, 13, 6, 0
50005, 5, 8, 0
108197, 5, 5, 1
87641, 30, 9, 0
271906, 20, 4, 1
304238, 20, 9, 0
10749, 6, 6, 0
356428, 120, 15, 0
208006, 65, 7, 0
59903, 55, 11, 0
13749, 10, 11, 0
124398, 30, 11, 0
62887, 30, 10, 0
278595, 5, 5, 1
399494, 45, 11, 0
227295, 75, 12, 0
67076, 75, 7, 0
22760, 65, 9, 0
347371, 35, 6, 0
352343, 40, 5, 0
51834, 35, 9, 0
505132, 50, 5, 0
293465, 35, 6, 0
131091, 30, 6, 0
209960, 45, 7, 0
316766, 15, 10, 0
237062, 55, 17, 0
99949, 60, 3, 0
407164, 15, 9, 0
62354, 55, 8, 0
62101, 36, 14, 0
2828, 1, 8, 0
57247, 60, 5, 0
172800, 15, 13, 0
120778, 90, 11, 0
33443, 60, 5, 0
285688, 85, 17, 0
143520, 20, 10, 0
260609, 50, 5, 0
24579, 32, 5, 0
178128, 1, 4, 1
295385, 60, 14, 0
54223, 85, 19, 0
164212, 20, 5, 1
332489, 27, 8, 0
34765, 1, 4, 1
137916, 1, 3, 1
50150, 35, 3, 0
362395, 33, 11, 0
387288, 660, 19, 0
109575, 70, 12, 0
436291, 40, 13, 0
237268, 20, 7, 0
38685, 65, 10, 0
403510, 45, 10, 0
57102, 60, 6, 0
177386, 3, 6, 0
124171, 28, 13, 0
402065, 20, 14, 0
152866, 30, 11, 0
8008, 1, 11, 0
30180, 30, 9, 0
254779, 40, 9, 0
233481, 30, 9, 0
287868, 110, 14, 0
11737, 255, 35, 0
418840, 250, 17, 0
176690, 20, 9, 0
4675, 1, 9, 0
26926, 45, 5, 0
530231, 315, 5, 0
134594, 45, 10, 0
198286, 30, 10, 0
133201, 21, 10, 0
41966, 35, 6, 0
26718, 55, 13, 0
183599, 35, 9, 0
441260, 25, 8, 0
18487, 90, 8, 0
460354, 70, 14, 0
330831, 55, 8, 0
358195, 25, 8, 0
509970, 65, 14, 0
45915, 5, 6, 0
126527, 210, 11, 0
445190, 15, 7, 0
60968, 111, 11, 0
109283, 20, 9, 0
91891, 35, 14, 0
111556, 50, 9, 0
260210, 45, 10, 0
282644, 570, 11, 0
263253, 25, 6, 0
180817, 215, 8, 0
306749, 63, 18, 0
328705, 15, 8, 0
9803, 105, 14, 0
248162, 30, 12, 0
367054, 195, 15, 0
98266, 28, 15, 0
175258, 50, 8, 0
164597, 20, 11, 0
109697, 65, 7, 0
111174, 15, 7, 0
40970, 640, 11, 0
266865, 60, 20, 0
276106, 60, 9, 0
230188, 5, 4, 1
443812, 40, 10, 0
185200, 90, 7, 0
211827, 10, 5, 1
340039, 80, 7, 0
384321, 35, 8, 0
188432, 60, 11, 0
446468, 435, 9, 0
332688, 55, 7, 0
117528, 75, 10, 0
168090, 20, 10, 0
270045, 90, 11, 0
311630, 35, 15, 0
177399, 32, 9, 0
459830, 15, 8, 0
135373, 20, 8, 0
353979, 20, 9, 0
161278, 70, 16, 0
92113, 30, 16, 0
293142, 55, 7, 0
115469, 35, 10, 0
314445, 40, 6, 0
38944, 135, 6, 0
76296, 10, 18, 0
386356, 45, 8, 0
411254, 45, 6, 0
6673, 1, 10, 0
222447, 15, 10, 0
173494, 13, 5, 1
431768, 40, 8, 0
71537, 75, 13, 0
124123, 10, 8, 0
429065, 11, 6, 0
174187, 30, 5, 0
144078, 70, 11, 0
155329, 15, 4, 1
487020, 45, 9, 0
81133, 90, 10, 0
280993, 245, 6, 0
73637, 130, 5, 0
20782, 14, 4, 1
443573, 70, 10, 0
280534, 310, 12, 0
182009, 60, 13, 0
133170, 11, 6, 0
33433, 40, 9, 0
391569, 20, 13, 0
420892, 35, 10, 0
288866, 105, 8, 0
444946, 25, 14, 0
481490, 15, 8, 0
162445, 165, 23, 0
271213, 35, 9, 0
20921, 45, 11, 0
141368, 15, 9, 0
34923, 15, 4, 1
35093, 20, 5, 1
164333, 1, 5, 1
62022, 730, 6, 0
118577, 75, 7, 0
492, 15, 6, 0
179583, 35, 9, 0
382924, 10, 6, 0
277510, 255, 9, 0
141416, 20, 13, 0
482903, 40, 9, 0
164584, 65, 14, 0
116374, 140, 11, 0
464960, 90, 15, 0
200170, 50, 4, 0
325299, 43, 13, 0
318725, 20, 8, 0
272348, 485, 11, 0
6469, 1, 12, 0
447909, 17, 8, 0
36845, 250, 6, 0
6594, 45, 10, 0
149657, 430, 11, 0
81518, 25, 14, 0
225833, 55, 11, 0
151782, 30, 8, 0
193839, 90, 14, 0
106393, 55, 9, 0
80723, 120, 8, 0
300307, 20, 8, 0
124809, 25, 6, 0
327370, 105, 16, 0
243623, 20, 6, 0
114204, 40, 10, 0
92549, 30, 21, 0
58652, 38, 5, 0
347673, 55, 6, 0
376019, 30, 10, 0
384765, 15, 8, 0
333447, 45, 4, 0
436741, 5, 2, 1
178323, 50, 7, 0
44343, 60, 12, 0
227046, 15, 7, 0
138803, 105, 6, 0
371883, 60, 7, 0
28193, 75, 9, 0
188906, 90, 10, 0
340730, 140, 10, 0
60725, 70, 9, 0
54742, 45, 12, 0
277884, 35, 4, 0
300991, 20, 10, 0
305710, 50, 12, 0
449905, 2, 7, 0
350218, 50, 10, 0
13249, 25, 4, 0
122528, 40, 9, 0
42400, 35, 10, 0
116391, 165, 13, 0
296792, 75, 7, 0
88539, 50, 10, 0
325800, 35, 10, 0
134748, 75, 22, 0
231547, 30, 7, 0
359826, 15, 8, 0
112343, 130, 7, 0
213327, 60, 12, 0
219401, 40, 10, 0
265632, 70, 7, 0
364325, 3, 5, 1
387691, 5, 3, 1
183224, 10, 9, 0
444160, 20, 10, 0
307355, 10, 6, 0
116681, 75, 16, 0
232298, 5, 7, 0
351855, 135, 11, 0
428239, 10, 3, 1
299516, 65, 11, 0
68717, 80, 11, 0
190873, 180, 5, 0
45462, 20, 7, 0
161549, 5, 7, 0
54350, 50, 12, 0
441825, 45, 17, 0
315217, 55, 8, 0
308525, 30, 14, 0
344452, 170, 15, 0
453965, 45, 12, 0
38582, 10, 3, 1
170929, 7, 8, 0
327285, 200, 14, 0
243424, 30, 7, 0
110058, 15, 10, 0
314784, 30, 12, 0
92697, 75, 6, 0
422764, 20, 6, 0
67637, 50, 7, 0
59220, 45, 7, 0
135046, 20, 7, 0
310244, 15, 5, 1
125301, 10, 13, 0
451374, 5, 3, 1
432065, 2, 7, 0
43663, 90, 7, 0
17298, 240, 7, 0
138542, 90, 21, 0
332022, 35, 17, 0
323287, 75, 16, 0
348992, 35, 4, 0
308041, 20, 7, 0
135214, 80, 14, 0
319368, 250, 12, 0
409492, 45, 10, 0
3095, 10, 2, 1
432460, 35, 10, 0
217779, 30, 9, 0
53650, 75, 14, 0
370473, 40, 11, 0
219732, 5, 3, 1
264490, 5, 4, 1
415870, 5, 9, 0
24193, 10, 4, 1
12667, 221, 11, 0
422347, 485, 12, 0
155486, 40, 8, 0
160119, 25, 9, 0
107318, 270, 8, 0
34028, 10, 11, 0
526222, 30, 9, 0
162077, 20, 15, 0
431138, 15, 6, 0
369982, 7, 3, 1
16215, 10, 8, 0
44471, 65, 10, 0
88111, 80, 15, 0
63443, 20, 5, 1
480706, 360, 14, 0
292108, 20, 7, 0
342032, 90, 7, 0
98502, 55, 10, 0
5320, 1, 10, 0
311927, 10, 6, 0
14666, 30, 13, 0
95658, 48, 10, 0
83770, 20, 9, 0
143329, 150, 15, 0
128486, 75, 6, 0
303627, 90, 4, 0
317715, 130, 5, 0
251664, 60, 6, 0
112096, 80, 10, 0
78696, 15, 4, 1
21138, 130, 6, 0
427676, 60, 16, 0
411722, 40, 16, 0
326922, 30, 6, 0
38945, 59, 16, 0
267565, 75, 13, 0
373349, 15, 7, 0
416347, 50, 14, 0
41743, 70, 9, 0
137995, 70, 11, 0
319857, 15, 10, 0
197275, 20, 8, 0
59503, 5, 5, 1
308187, 75, 5, 0
126259, 30, 11, 0
155984, 35, 12, 0
115050, 490, 4, 0
329792, 5, 5, 1
146866, 45, 5, 0
64654, 20, 9, 0
106896, 195, 6, 0
50824, 45, 15, 0
77908, 80, 12, 0
194830, 15, 8, 0
58137, 60, 6, 0
266768, 55, 6, 0
438332, 100, 17, 0
31288, 55, 7, 0
8801, 110, 11, 0
229251, 35, 11, 0
345531, 33, 4, 0
45452, 495, 7, 0
297051, 45, 10, 0
459165, 2190, 14, 0
532420, 35, 11, 0
25488, 20, 7, 0
108124, 20, 5, 1
115674, 40, 12, 0
446888, 15, 3, 1
145779, 10, 5, 1
420150, 95, 8, 0
320497, 22, 10, 0
141239, 20, 10, 0
172760, 13, 9, 0
93367, 10, 5, 1
261482, 120, 14, 0
297723, 5, 5, 1
380398, 15, 17, 0
350487, 115, 14, 0
107965, 21, 15, 0
518148, 110, 13, 0
353962, 120, 8, 0
54520, 15, 7, 0
85934, 5, 6, 0
259888, 30, 10, 0
175737, 15, 6, 0
265500, 80, 12, 0
405048, 40, 10, 0
129967, 2, 3, 1
342985, 5, 10, 0
404359, 40, 14, 0
121264, 70, 13, 0
106475, 40, 9, 0
144950, 25, 14, 0
13668, 40, 6, 0
187638, 135, 14, 0
183803, 75, 9, 0
83960, 20, 5, 1
100259, 40, 6, 0
22995, 50, 7, 0
521630, 300, 12, 0
191607, 10, 4, 1
81322, 96, 15, 0
212253, 50, 10, 0
95689, 80, 11, 0
44860, 40, 8, 0
420944, 370, 8, 0
264028, 2, 7, 0
196899, 10, 9, 0
253558, 23, 7, 0
37516, 25, 6, 0
459367, 35, 6, 0
134947, 15, 8, 0
316525, 25, 11, 0
54197, 35, 8, 0
275580, 45, 6, 0
49413, 75, 12, 0
79199, 520, 19, 0
364367, 50, 6, 0
294887, 32, 8, 0
135204, 70, 13, 0
491504, 30, 9, 0
258147, 20, 9, 0
126054, 30, 7, 0
273102, 3, 6, 0
321733, 140, 2, 0
371026, 40, 7, 0
307688, 13, 6, 0
200766, 10, 6, 0
495893, 40, 12, 0
231946, 75, 7, 0
74827, 7, 6, 0
273722, 50, 9, 0
66987, 56, 6, 0
46225, 45, 4, 0
30229, 35, 3, 0
217144, 25, 9, 0
134563, 50, 12, 0
144288, 75, 15, 0
351702, 55, 6, 0
351046, 60, 11, 0
413212, 75, 12, 0
71649, 70, 5, 0
531179, 105, 14, 0
76492, 80, 5, 0
14450, 1, 5, 1
254454, 75, 9, 0
165679, 65, 11, 0
33599, 25, 6, 0
250257, 35, 22, 0
690, 120, 8, 0
92762, 25, 9, 0
43859, 35, 14, 0
142324, 80, 13, 0
112875, 1460, 14, 0
18537, 100, 4, 0
48229, 60, 9, 0
443613, 75, 15, 0
13863, 60, 11, 0
93446, 40, 10, 0
65481, 80, 13, 0
164344, 10, 8, 0
363605, 55, 11, 0
247018, 7, 5, 1
259879, 300, 10, 0
335511, 40, 14, 0
418884, 5, 7, 0
82617, 55, 7, 0
456681, 30, 11, 0
55550, 25, 8, 0
83626, 510, 14, 0
29844, 14, 10, 0
131263, 25, 9, 0
287493, 5, 7, 0
117558, 45, 14, 0
232144, 60, 15, 0
159058, 30, 9, 0
253099, 30, 6, 0
37139, 60, 15, 0
14260, 25, 7, 0
421574, 15, 10, 0
288519, 40, 8, 0
505085, 40, 13, 0
310271, 2, 5, 1
8474, 55, 5, 0
149144, 10, 5, 1
195188, 10, 6, 0
380285, 65, 4, 0
244096, 90, 10, 0
422451, 135, 12, 0
325353, 25, 7, 0
14764, 30, 5, 0
340604, 65, 6, 0
300801, 80, 6, 0
522186, 38, 16, 0
136318, 90, 14, 0
109308, 20, 7, 0
132192, 195, 6, 0
141503, 30, 5, 0
6428, 105, 6, 0
198660, 30, 12, 0
369785, 2, 6, 0
374316, 7, 7, 0
182249, 90, 13, 0
473216, 40, 10, 0
98136, 30, 6, 0
38408, 35, 9, 0
185915, 5, 4, 1
287825, 30, 12, 0
88239, 50, 13, 0
231636, 15, 6, 0
286750, 25, 14, 0
254431, 10, 7, 0
67321, 500, 11, 0
125686, 40, 7, 0
229876, 1450, 4, 0
303406, 35, 10, 0
