minutes, ingredients
162758, 60, 4
155837, 45, 9
270542, 5, 4
460833, 65, 16
116294, 30, 15
176951, 45, 12
212025, 65, 5
446188, 25, 5
18310, 10, 9
118207, 65, 5
101637, 15, 6
308905, 5, 7
74758, 65, 7
202615, 65, 8
258854, 65, 13
110347, 2, 5
29533, 40, 13
11644, 45, 8
181035, 65, 18
164879, 65, 11
148817, 65, 13
423178, 20, 9
252362, 55, 8
461048, 5, 12
520603, 33, 9
350655, 65, 9
223668, 4, 3
255452, 15, 6
126410, 2, 4
231605, 35, 12
62545, 57, 15
277814, 65, 10
104880, 65, 7
298235, 45, 12
484102, 20, 8
81957, 30, 13
363343, 30, 15
311859, 30, 8
81318, 55, 12
147671, 65, 8
78674, 38, 12
53640, 35, 12
293755, 5, 7
423484, 25, 12
343565, 65, 20
304790, 45, 13
35083, 65, 9
432319, 40, 10
297272, 10, 4
285373, 2, 5
105252, 55, 10
420551, 40, 9
366949, 65, 11
447728, 40, 14
395963, 20, 10
110332, 65, 5
36495, 65, 15
91965, 27, 10
111343, 10, 11
143679, 12, 6
366715, 45, 12
196250, 38, 8
176228, 65, 4
171252, 35, 7
183262, 65, 10
149747, 65, 10
252200, 65, 6
362820, 15, 5
166775, 20, 12
272862, 50, 6
106179, 35, 7
381156, 65, 7
113557, 30, 11
118540, 17, 8
314974, 65, 13
91050, 65, 11
180073, 20, 5
354726, 30, 11
423430, 20, 9
144591, 10, 4
129170, 60, 8
224312, 15, 5
418474, 65, 6
400563, 65, 17
152357, 65, 10
29828, 15, 6
353583, 45, 11
362960, 65, 11
52950, 65, 12
84021, 20, 11
201316, 40, 6
276596, 65, 8
147295, 25, 9
240086, 15, 6
134805, 35, 10
120835, 5, 3
151741, 60, 15
223780, 30, 9
78183, 55, 14
352940, 1, 3
192188, 55, 6
79030, 33, 8
111496, 35, 8
56301, 60, 8
248905, 30, 7
356517, 18, 4
17449, 20, 8
330168, 65, 14
9751, 7, 4
98774, 50, 6
75601, 6, 8
44999, 10, 3
142819, 50, 10
60955, 20, 8
367812, 25, 11
216748, 65, 21
324124, 10, 8
482024, 30, 11
189687, 65, 18
163352, 65, 11
105309, 20, 10
318455, 40, 14
196260, 65, 13
52631, 60, 10
383988, 5, 5
129835, 25, 9
39732, 65, 11
9156, 30, 8
533718, 34, 15
7975, 2, 7
136457, 40, 8
39985, 2, 2
377083, 50, 7
134242, 65, 18
140210, 62, 9
153719, 65, 9
95900, 65, 9
136845, 65, 9
345275, 50, 10
321751, 35, 4
183365, 15, 7
164538, 12, 6
116258, 50, 10
219873, 15, 13
62547, 17, 7
381109, 25, 9
47249, 1, 8
248411, 30, 8
479895, 30, 13
11992, 65, 17
516546, 27, 7
224636, 40, 7
180943, 35, 10
31626, 65, 13
472899, 65, 4
204698, 65, 6
55237, 60, 11
81586, 60, 5
390084, 20, 4
119066, 10, 5
150244, 40, 15
254202, 30, 13
85523, 27, 11
165625, 30, 15
18800, 65, 17
9325, 0, 10
422167, 45, 8
236938, 25, 6
189785, 5, 7
333400, 20, 5
181959, 65, 16
166130, 65, 13
311454, 33, 12
103435, 5, 5
209175, 25, 14
370394, 50, 12
248469, 65, 4
339478, 65, 10
74068, 65, 9
198908, 65, 12
71966, 35, 13
427534, 22, 7
266014, 40, 5
36400, 65, 8
59627, 60, 10
116392, 65, 14
441056, 21, 7
260023, 65, 11
179706, 65, 8
170226, 60, 19
195432, 25, 9
308209, 45, 11
180438, 30, 15
53823, 65, 19
3116, 65, 24
419771, 39, 11
25776, 65, 10
320274, 50, 8
317184, 30, 7
232123, 65, 10
229261, 60, 14
113400, 20, 12
20959, 65, 11
57622, 65, 8
108713, 30, 15
298243, 10, 6
383349, 40, 11
82863, 45, 10
235939, 65, 9
355615, 5, 5
24517, 65, 12
223878, 65, 6
25231, 20, 8
87443, 65, 7
239126, 25, 5
353148, 32, 10
215108, 20, 6
384474, 10, 8
365879, 25, 8
487806, 65, 21
221642, 23, 3
58995, 10, 5
3201, 65, 10
108889, 50, 11
46974, 18, 5
154814, 30, 12
108157, 25, 13
367434, 40, 8
69049, 50, 11
501151, 10, 11
150016, 65, 9
148648, 65, 11
271121, 60, 12
21199, 30, 8
133975, 65, 6
146546, 13, 3
55041, 15, 7
45603, 5, 6
31890, 57, 10
311429, 50, 4
307722, 45, 6
257317, 30, 9
365227, 20, 12
281384, 20, 3
138510, 65, 5
394156, 65, 11
421345, 10, 6
368155, 45, 11
253113, 40, 7
244054, 20, 8
369649, 30, 6
367782, 15, 11
313208, 65, 18
322225, 65, 14
215631, 65, 8
515142, 21, 5
60914, 25, 8
59467, 65, 11
296953, 40, 16
122464, 40, 14
97873, 65, 9
468972, 45, 11
69320, 10, 10
227111, 10, 5
137167, 5, 3
503664, 65, 10
289753, 35, 6
456475, 15, 6
264945, 3, 3
156354, 30, 4
482670, 63, 12
14807, 19, 7
203648, 30, 18
11070, 30, 6
26220, 25, 5
298230, 37, 4
58921, 65, 10
330073, 55, 9
92712, 65, 12
108469, 10, 4
94265, 40, 6
129224, 25, 9
245817, 65, 7
182353, 65, 11
497326, 45, 4
319486, 30, 6
425157, 25, 19
69111, 55, 7
358814, 10, 3
200479, 35, 10
433600, 25, 7
513395, 60, 10
163752, 60, 8
421802, 10, 9
45241, 55, 7
265812, 50, 8
459313, 9, 6
505248, 65, 13
443151, 65, 15
213528, 5, 7
112817, 65, 5
175868, 35, 10
279479, 15, 8
133318, 27, 6
8419, 10, 8
416029, 30, 18
402548, 45, 17
415591, 45, 13
48167, 55, 11
103694, 15, 7
240208, 10, 3
147800, 45, 10
372038, 65, 10
340198, 65, 9
94642, 35, 17
248543, 45, 12
158682, 10, 7
410592, 14, 9
248687, 5, 6
496883, 35, 17
460800, 65, 9
390718, 20, 7
423795, 65, 8
436396, 40, 7
33975, 6, 5
189621, 3, 2
174874, 25, 5
392906, 25, 4
129926, 45, 10
226675, 40, 20
150366, 65, 16
93249, 13, 3
241080, 30, 11
57527, 35, 6
99491, 15, 4
74717, 20, 6
320157, 20, 6
68552, 21, 15
188466, 10, 5
42561, 25, 6
270401, 65, 10
213900, 30, 17
471731, 50, 18
196119, 10, 11
48464, 40, 12
157702, 35, 4
11689, 50, 10
468664, 60, 12
470093, 65, 13
412284, 35, 6
15937, 60, 17
78729, 45, 10
217823, 35, 10
207308, 30, 10
93205, 10, 11
146539, 65, 6
400516, 9, 6
371238, 65, 13
465102, 35, 5
83848, 50, 10
388247, 30, 10
271683, 65, 15
306673, 46, 8
369438, 65, 7
7309, 33, 9
221946, 50, 21
168220, 32, 4
23423, 65, 7
241956, 50, 8
212363, 30, 8
359919, 10, 8
11083, 57, 12
345733, 65, 14
377943, 40, 12
129906, 27, 9
142226, 65, 19
301632, 35, 4
278855, 50, 8
257111, 65, 8
271954, 65, 12
28292, 25, 7
134270, 60, 9
134305, 50, 12
374144, 25, 7
431192, 40, 16
11179, 50, 6
238513, 12, 8
133433, 65, 9
69640, 10, 2
254951, 2, 2
90676, 45, 8
471666, 20, 4
135161, 25, 7
22437, 15, 6
144231, 65, 9
39338, 15, 10
283069, 35, 11
104467, 30, 10
306883, 12, 8
158524, 65, 12
247887, 12, 9
429022, 65, 9
353825, 60, 7
51472, 15, 9
493351, 20, 3
88674, 65, 13
216689, 45, 13
335180, 5, 2
92516, 25, 10
130325, 10, 11
296094, 29, 10
302050, 20, 4
62549, 30, 6
99814, 25, 13
73265, 13, 6
50005, 5, 8
108197, 5, 5
87641, 30, 9
271906, 20, 4
304238, 20, 9
10749, 6, 6
356428, 65, 15
208006, 65, 7
59903, 55, 11
13749, 10, 11
124398, 30, 11
62887, 30, 10
278595, 5, 5
399494, 45, 11
227295, 65, 12
67076, 65, 7
22760, 65, 9
347371, 35, 6
352343, 40, 5
51834, 35, 9
505132, 50, 5
293465, 35, 6
131091, 30, 6
209960, 45, 7
316766, 15, 10
237062, 55, 17
99949, 60, 3
407164, 15, 9
62354, 55, 8
62101, 36, 14
2828, 0, 8
57247, 60, 5
172800, 15, 13
120778, 65, 11
33443, 60, 5
285688, 65, 17
143520, 20, 10
260609, 50, 5
24579, 32, 5
178128, 1, 4
295385, 60, 14
54223, 65, 19
164212, 20, 5
332489, 27, 8
34765, 1, 4
137916, 1, 3
50150, 35, 3
362395, 33, 11
387288, 65, 19
109575, 65, 12
436291, 40, 13
237268, 20, 7
38685, 65, 10
403510, 45, 10
57102, 60, 6
177386, 3, 6
124171, 28, 13
402065, 20, 14
152866, 30, 11
8008, 0, 11
30180, 30, 9
254779, 40, 9
233481, 30, 9
287868, 65, 14
11737, 65, 35
418840, 65, 17
176690, 20, 9
4675, 0, 9
26926, 45, 5
530231, 65, 5
134594, 45, 10
198286, 30, 10
133201, 21, 10
41966, 35, 6
26718, 55, 13
183599, 35, 9
441260, 25, 8
18487, 65, 8
460354, 65, 14
330831, 55, 8
358195, 25, 8
509970, 65, 14
45915, 5, 6
126527, 65, 11
445190, 15, 7
60968, 65, 11
109283, 20, 9
91891, 35, 14
111556, 50, 9
260210, 45, 10
282644, 65, 11
263253, 25, 6
180817, 65, 8
306749, 63, 18
328705, 15, 8
9803, 65, 14
248162, 30, 12
367054, 65, 15
98266, 28, 15
175258, 50, 8
164597, 20, 11
109697, 65, 7
111174, 15, 7
40970, 65, 11
266865, 60, 20
276106, 60, 9
230188, 5, 4
443812, 40, 10
185200, 65, 7
211827, 10, 5
340039, 65, 7
384321, 35, 8
188432, 60, 11
446468, 65, 9
332688, 55, 7
117528, 65, 10
168090, 20, 10
270045, 65, 11
311630, 35, 15
177399, 32, 9
459830, 15, 8
135373, 20, 8
353979, 20, 9
161278, 65, 16
92113, 30, 16
293142, 55, 7
115469, 35, 10
314445, 40, 6
38944, 65, 6
76296, 10, 18
386356, 45, 8
411254, 45, 6
6673, 0, 10
222447, 15, 10
173494, 13, 5
431768, 40, 8
71537, 65, 13
124123, 10, 8
429065, 11, 6
174187, 30, 5
144078, 65, 11
155329, 15, 4
487020, 45, 9
81133, 65, 10
280993, 65, 6
73637, 65, 5
20782, 14, 4
443573, 65, 10
280534, 65, 12
182009, 60, 13
133170, 11, 6
33433, 40, 9
391569, 20, 13
420892, 35, 10
288866, 65, 8
444946, 25, 14
481490, 15, 8
162445, 65, 23
271213, 35, 9
20921, 45, 11
141368, 15, 9
34923, 15, 4
35093, 20, 5
164333, 1, 5
62022, 65, 6
118577, 65, 7
492, 15, 6
179583, 35, 9
382924, 10, 6
277510, 65, 9
141416, 20, 13
482903, 40, 9
164584, 65, 14
116374, 65, 11
464960, 65, 15
200170, 50, 4
325299, 43, 13
318725, 20, 8
272348, 65, 11
6469, 0, 12
447909, 17, 8
36845, 65, 6
6594, 45, 10
149657, 65, 11
81518, 25, 14
225833, 55, 11
151782, 30, 8
193839, 65, 14
106393, 55, 9
80723, 65, 8
300307, 20, 8
124809, 25, 6
327370, 65, 16
243623, 20, 6
114204, 40, 10
92549, 30, 21
58652, 38, 5
347673, 55, 6
376019, 30, 10
384765, 15, 8
333447, 45, 4
436741, 5, 2
178323, 50, 7
44343, 60, 12
227046, 15, 7
138803, 65, 6
371883, 60, 7
28193, 65, 9
188906, 65, 10
340730, 65, 10
60725, 65, 9
54742, 45, 12
277884, 35, 4
300991, 20, 10
305710, 50, 12
449905, 2, 7
350218, 50, 10
13249, 25, 4
122528, 40, 9
42400, 35, 10
116391, 65, 13
296792, 65, 7
88539, 50, 10
325800, 35, 10
134748, 65, 22
231547, 30, 7
359826, 15, 8
112343, 65, 7
213327, 60, 12
219401, 40, 10
265632, 65, 7
364325, 3, 5
387691, 5, 3
183224, 10, 9
444160, 20, 10
307355, 10, 6
116681, 65, 16
232298, 5, 7
351855, 65, 11
428239, 10, 3
299516, 65, 11
68717, 65, 11
190873, 65, 5
45462, 20, 7
161549, 5, 7
54350, 50, 12
441825, 45, 17
315217, 55, 8
308525, 30, 14
344452, 65, 15
453965, 45, 12
38582, 10, 3
170929, 7, 8
327285, 65, 14
243424, 30, 7
110058, 15, 10
314784, 30, 12
92697, 65, 6
422764, 20, 6
67637, 50, 7
59220, 45, 7
135046, 20, 7
310244, 15, 5
125301, 10, 13
451374, 5, 3
432065, 2, 7
43663, 65, 7
17298, 65, 7
138542, 65, 21
332022, 35, 17
323287, 65, 16
348992, 35, 4
308041, 20, 7
135214, 65, 14
319368, 65, 12
409492, 45, 10
3095, 10, 2
432460, 35, 10
217779, 30, 9
53650, 65, 14
370473, 40, 11
219732, 5, 3
264490, 5, 4
415870, 5, 9
24193, 10, 4
12667, 65, 11
422347, 65, 12
155486, 40, 8
160119, 25, 9
107318, 65, 8
34028, 10, 11
526222, 30, 9
162077, 20, 15
431138, 15, 6
369982, 7, 3
16215, 10, 8
44471, 65, 10
88111, 65, 15
63443, 20, 5
480706, 65, 14
292108, 20, 7
342032, 65, 7
98502, 55, 10
5320, 0, 10
311927, 10, 6
14666, 30, 13
95658, 48, 10
83770, 20, 9
143329, 65, 15
128486, 65, 6
303627, 65, 4
317715, 65, 5
251664, 60, 6
112096, 65, 10
78696, 15, 4
21138, 65, 6
427676, 60, 16
411722, 40, 16
326922, 30, 6
38945, 59, 16
267565, 65, 13
373349, 15, 7
416347, 50, 14
41743, 65, 9
137995, 65, 11
319857, 15, 10
197275, 20, 8
59503, 5, 5
308187, 65, 5
126259, 30, 11
155984, 35, 12
115050, 65, 4
329792, 5, 5
146866, 45, 5
64654, 20, 9
106896, 65, 6
50824, 45, 15
77908, 65, 12
194830, 15, 8
58137, 60, 6
266768, 55, 6
438332, 65, 17
31288, 55, 7
8801, 65, 11
229251, 35, 11
345531, 33, 4
45452, 65, 7
297051, 45, 10
459165, 65, 14
532420, 35, 11
25488, 20, 7
108124, 20, 5
115674, 40, 12
446888, 15, 3
145779, 10, 5
420150, 65, 8
320497, 22, 10
141239, 20, 10
172760, 13, 9
93367, 10, 5
261482, 65, 14
297723, 5, 5
380398, 15, 17
350487, 65, 14
107965, 21, 15
518148, 65, 13
353962, 65, 8
54520, 15, 7
85934, 5, 6
259888, 30, 10
175737, 15, 6
265500, 65, 12
405048, 40, 10
129967, 2, 3
342985, 5, 10
404359, 40, 14
121264, 65, 13
106475, 40, 9
144950, 25, 14
13668, 40, 6
187638, 65, 14
183803, 65, 9
83960, 20, 5
100259, 40, 6
22995, 50, 7
521630, 65, 12
191607, 10, 4
81322, 65, 15
212253, 50, 10
95689, 65, 11
44860, 40, 8
420944, 65, 8
264028, 2, 7
196899, 10, 9
253558, 23, 7
37516, 25, 6
459367, 35, 6
134947, 15, 8
316525, 25, 11
54197, 35, 8
275580, 45, 6
49413, 65, 12
79199, 65, 19
364367, 50, 6
294887, 32, 8
135204, 65, 13
491504, 30, 9
258147, 20, 9
126054, 30, 7
273102, 3, 6
321733, 65, 2
371026, 40, 7
307688, 13, 6
200766, 10, 6
495893, 40, 12
231946, 65, 7
74827, 7, 6
273722, 50, 9
66987, 56, 6
46225, 45, 4
30229, 35, 3
217144, 25, 9
134563, 50, 12
144288, 65, 15
351702, 55, 6
351046, 60, 11
413212, 65, 12
71649, 65, 5
531179, 65, 14
76492, 65, 5
14450, 1, 5
254454, 65, 9
165679, 65, 11
33599, 25, 6
250257, 35, 22
690, 65, 8
92762, 25, 9
43859, 35, 14
142324, 65, 13
112875, 65, 14
18537, 65, 4
48229, 60, 9
443613, 65, 15
13863, 60, 11
93446, 40, 10
65481, 65, 13
164344, 10, 8
363605, 55, 11
247018, 7, 5
259879, 65, 10
335511, 40, 14
418884, 5, 7
82617, 55, 7
456681, 30, 11
55550, 25, 8
83626, 65, 14
29844, 14, 10
131263, 25, 9
287493, 5, 7
117558, 45, 14
232144, 60, 15
159058, 30, 9
253099, 30, 6
37139, 60, 15
14260, 25, 7
421574, 15, 10
288519, 40, 8
505085, 40, 13
310271, 2, 5
8474, 55, 5
149144, 10, 5
195188, 10, 6
380285, 65, 4
244096, 65, 10
422451, 65, 12
325353, 25, 7
14764, 30, 5
340604, 65, 6
300801, 65, 6
522186, 38, 16
136318, 65, 14
109308, 20, 7
132192, 65, 6
141503, 30, 5
6428, 65, 6
198660, 30, 12
369785, 2, 6
374316, 7, 7
182249, 65, 13
473216, 40, 10
98136, 30, 6
38408, 35, 9
185915, 5, 4
287825, 30, 12
88239, 50, 13
231636, 15, 6
286750, 25, 14
254431, 10, 7
67321, 65, 11
125686, 40, 7
229876, 65, 4
303406, 35, 10
108352, 15, 9
116903, 65, 9
318025, 30, 5
312712, 60, 7
245107, 5, 11
205312, 20, 7
221349, 15, 4
357761, 15, 5
31021, 10, 5
123829, 35, 11
98708, 15, 4
388777, 15, 8
200805, 16, 6
461439, 10, 7
66974, 65, 12
145016, 65, 5
464889, 65, 10
283309, 55, 6
89802, 65, 6
209011, 40, 5
378980, 60, 10
393475, 50, 10
181192, 40, 8
515058, 30, 9
84731, 5, 8
143501, 25, 13
158008, 65, 11
8750, 20, 6
72131, 65, 4
88414, 65, 9
191547, 40, 10
301205, 30, 12
208919, 65, 16
249588, 15, 10
493077, 25, 5
172131, 65, 13
416784, 65, 12
162795, 35, 9
388593, 55, 7
251173, 30, 6
243841, 65, 11
317828, 65, 7
36198, 35, 16
134240, 35, 14
393644, 30, 7
195893, 20, 16
324101, 65, 10
124467, 20, 15
255365, 65, 16
152760, 8, 3
175881, 30, 7
16887, 13, 8
22787, 15, 4
330265, 60, 8
121212, 65, 10
335784, 65, 8
13608, 65, 5
349216, 65, 12
72803, 15, 7
79182, 25, 9
170547, 40, 10
338856, 65, 7
464035, 50, 13
65541, 65, 12
94532, 35, 10
11896, 60, 10
234147, 40, 11
41223, 15, 9
380375, 45, 11
297673, 30, 6
82773, 10, 4
73681, 25, 7
119632, 45, 7
392907, 30, 11
7819, 65, 8
389564, 35, 12
481897, 65, 7
233113, 65, 3
185405, 25, 8
104542, 65, 9
193026, 45, 11
192018, 65, 11
119580, 25, 10
388840, 10, 6
179655, 65, 6
207944, 65, 14
114567, 3, 4
166129, 35, 13
397103, 30, 8
127531, 45, 5
200735, 65, 5
39542, 55, 13
9753, 65, 17
263677, 35, 7
172432, 50, 5
85366, 65, 12
324327, 55, 9
295737, 40, 4
391622, 35, 11
106885, 49, 13
224094, 30, 16
33754, 45, 8
57317, 48, 8
287634, 65, 15
121519, 15, 11
520788, 65, 10
414859, 60, 14
190349, 65, 7
173587, 65, 16
369404, 50, 10
176248, 5, 4
417125, 65, 7
29452, 17, 8
342823, 45, 12
274464, 25, 13
459431, 35, 11
258056, 35, 12
341348, 65, 8
230515, 20, 10
103484, 30, 16
189225, 15, 9
211209, 30, 8
404347, 65, 8
464704, 20, 9
335947, 65, 8
337355, 65, 18
336713, 20, 7
283933, 55, 7
120458, 40, 12
274622, 30, 11
29294, 20, 13
29878, 65, 10
377749, 65, 12
493747, 30, 12
118012, 55, 9
362714, 40, 6
140833, 65, 14
270031, 45, 11
208930, 45, 8
284114, 30, 12
29158, 60, 19
286204, 60, 15
466376, 60, 8
485303, 35, 8
274579, 65, 9
434534, 65, 8
390878, 40, 6
205945, 65, 12
322461, 45, 5
424035, 65, 4
265056, 5, 20
86710, 15, 5
66055, 35, 13
21717, 65, 8
34262, 15, 8
276188, 55, 11
47316, 20, 7
282004, 30, 10
272045, 40, 15
167530, 65, 11
72855, 60, 10
246562, 30, 7
181063, 65, 9
294506, 30, 3
180345, 35, 10
288848, 40, 9
360927, 30, 6
198906, 65, 18
432030, 40, 12
382875, 2, 5
208699, 50, 8
250762, 15, 6
80084, 65, 7
161189, 50, 7
361680, 15, 5
338265, 6, 6
249475, 20, 10
449637, 65, 12
337580, 30, 11
243439, 20, 6
102749, 20, 7
164277, 5, 7
253479, 60, 14
373608, 50, 10
363880, 50, 6
333654, 65, 13
74691, 30, 7
470494, 5, 6
386289, 65, 11
204369, 30, 9
357283, 60, 12
313909, 65, 11
248856, 17, 7
404138, 65, 13
302968, 50, 13
54203, 25, 13
224735, 50, 7
17348, 25, 11
69414, 15, 5
173753, 45, 17
95312, 65, 5
129551, 15, 9
130875, 65, 9
324735, 25, 9
479260, 30, 13
18597, 60, 10
53061, 65, 15
356961, 5, 5
6807, 55, 11
177117, 20, 12
217799, 5, 4
429119, 40, 11
65607, 65, 5
212716, 4, 7
190382, 65, 15
158563, 20, 7
418909, 10, 7
279967, 23, 7
380973, 45, 7
390531, 42, 4
323331, 15, 5
407882, 50, 12
228683, 65, 15
281530, 45, 10
191203, 65, 5
210120, 60, 7
414317, 65, 15
359288, 35, 10
96845, 50, 5
131185, 27, 14
292887, 5, 3
245927, 65, 4
442328, 5, 7
101730, 55, 21
220292, 10, 6
149677, 30, 11
341801, 15, 4
117535, 15, 9
323994, 40, 11
49639, 60, 5
311692, 35, 13
196354, 65, 4
124395, 35, 9
305130, 25, 14
217584, 65, 15
89065, 45, 4
519091, 55, 6
356806, 40, 5
214537, 63, 19
7910, 40, 5
17785, 65, 13
503701, 50, 9
181653, 15, 4
238133, 22, 8
202374, 15, 9
253001, 15, 12
115692, 35, 8
69134, 22, 5
149168, 27, 6
27755, 15, 9
487487, 30, 13
215667, 25, 10
416296, 65, 16
428175, 53, 9
443183, 55, 5
155397, 50, 6
199816, 45, 15
417565, 2, 2
440720, 45, 9
89374, 35, 7
118883, 40, 10
163308, 50, 8
158495, 65, 12
158189, 25, 7
362499, 35, 14
190739, 25, 11
150329, 65, 10
55903, 5, 8
284982, 30, 9
185951, 45, 7
135897, 65, 10
73292, 35, 4
280038, 65, 12
488253, 65, 12
532655, 45, 5
23244, 35, 6
277495, 2, 4
241706, 50, 4
71074, 20, 5
84537, 65, 4
39829, 22, 7
425119, 65, 14
99213, 50, 15
74628, 65, 2
88514, 65, 8
246131, 30, 11
11907, 65, 7
409847, 65, 13
72085, 60, 4
325409, 65, 4
291305, 65, 11
113751, 25, 8
479113, 40, 6
52384, 40, 10
132734, 65, 6
372319, 45, 7
468147, 30, 9
355929, 10, 7
348328, 30, 7
336627, 65, 13
266618, 15, 6
114094, 30, 6
306447, 12, 8
102936, 35, 9
219506, 35, 9
62200, 60, 12
375886, 5, 3
239131, 10, 5
44289, 45, 8
265298, 33, 12
217603, 40, 8
298116, 65, 8
334230, 40, 9
138306, 50, 6
266572, 15, 8
25188, 25, 2
117043, 33, 10
94811, 20, 3
167075, 15, 9
213127, 65, 5
197452, 17, 10
471377, 10, 8
131753, 50, 5
332172, 45, 14
444416, 65, 14
356219, 25, 8
312940, 25, 7
514164, 11, 3
214915, 40, 6
429788, 65, 8
261493, 15, 10
63148, 25, 5
163491, 60, 12
255234, 65, 13
466816, 30, 13
100197, 35, 10
110076, 65, 16
399610, 2, 5
231603, 30, 10
239888, 65, 11
424007, 30, 11
353143, 35, 10
201582, 20, 11
383713, 65, 15
307745, 30, 10
333698, 65, 6
30947, 65, 6
435511, 5, 5
13081, 50, 7
229524, 65, 10
96886, 40, 13
120533, 25, 7
274250, 4, 3
325571, 30, 4
332743, 65, 18
32403, 15, 8
89791, 35, 17
232046, 15, 11
81593, 50, 10
289986, 65, 16
356603, 45, 5
295759, 5, 4
206958, 8, 6
25728, 15, 6
277551, 65, 12
66478, 65, 10
220749, 55, 9
100249, 5, 6
163301, 50, 10
416753, 65, 9
530650, 45, 14
137030, 12, 7
102071, 30, 8
89385, 35, 10
21520, 55, 3
146286, 10, 5
49085, 65, 11
261611, 20, 8
94853, 65, 12
174480, 15, 11
