id, minutes, n_ingredients
356961, 5, 5
217799, 5, 4
65607, 105, 5
390531, 42, 4
323331, 15, 5
191203, 70, 5
96845, 50, 5
292887, 5, 3
245927, 135, 4
341801, 15, 4
49639, 60, 5
196354, 130, 4
89065, 45, 4
356806, 40, 5
7910, 40, 5
181653, 15, 4
69134, 22, 5
443183, 55, 5
417565, 2, 2
73292, 35, 4
532655, 45, 5
277495, 2, 4
241706, 50, 4
71074, 20, 5
84537, 65, 4
74628, 75, 2
72085, 60, 4
325409, 245, 4
375886, 5, 3
239131, 10, 5
25188, 25, 2
94811, 20, 3
213127, 75, 5
131753, 50, 5
514164, 11, 3
63148, 25, 5
399610, 2, 5
435511, 5, 5
274250, 4, 3
325571, 30, 4
356603, 45, 5
295759, 5, 4
21520, 55, 3
146286, 10, 5
208352, 5, 5
281119, 1, 4
22211, 30, 2
123197, 35, 5
448064, 5, 4
380746, 1445, 5
22938, 128, 5
362991, 10, 5
81130, 20, 5
66811, 10, 5
305283, 5, 4
378231, 2, 5
89508, 22, 5
331899, 50, 5
124976, 30, 5
256760, 10, 5
321046, 10, 4
87284, 35, 5
207958, 10, 5
61780, 5, 5
165720, 5, 4
97825, 30, 5
214125, 5, 3
39505, 37, 5
109384, 18, 4
307496, 5, 2
263512, 15, 2
467208, 33, 5
201800, 15, 5
193350, 5, 3
43138, 15, 5
424830, 15, 4
123895, 20, 5
164431, 130, 5
277093, 9, 4
55034, 65, 4
397521, 10, 5
204913, 5, 5
318799, 10, 5
99387, 30, 4
168053, 30, 5
57768, 15, 3
191976, 5, 4
181666, 1, 3
317517, 5, 4
266042, 25, 5
258265, 45, 2
324974, 30, 5
14762, 20, 5
69934, 5, 4
195559, 3, 4
26946, 20, 5
411, 1465, 4
332867, 42, 5
248267, 45, 5
414765, 30, 5
185680, 5, 5
67420, 50, 5
439793, 55, 4
102612, 10085, 4
119651, 20, 5
186161, 25, 2
285993, 40, 5
275643, 30, 4
58637, 5, 5
288285, 200, 5
514975, 30, 5
427787, 2, 4
163808, 30, 3
356646, 15, 5
401196, 20, 4
111585, 25, 5
317925, 25, 5
36020, 5, 3
283912, 70, 5
33474, 10, 4
276718, 195, 4
154839, 35, 5
515361, 40, 4
14578, 15, 5
47435, 9, 5
382878, 5, 5
282663, 30, 4
311464, 10, 3
20819, 65, 5
385475, 35, 5
281920, 15, 5
307608, 10, 3
191745, 40, 4
412289, 10, 5
190487, 35, 5
431017, 1, 5
482506, 10, 4
86219, 65, 4
221612, 10, 4
123920, 15, 4
380309, 130, 5
6724, 75, 5
183099, 35, 4
31779, 30, 5
39080, 10, 5
369602, 10, 4
308304, 310, 3
300827, 365, 4
225023, 5, 2
8489, 5, 4
159820, 6, 5
293752, 3, 3
403658, 39, 5
229366, 645, 4
63686, 10, 5
290428, 35, 5
336565, 25, 4
135098, 10, 4
410855, 65, 3
185922, 55, 5
199138, 16, 3
14434, 1, 4
260283, 5, 4
17032, 2, 5
59357, 3, 5
414465, 43202, 2
55273, 15, 5
62914, 5, 3
137704, 5, 4
17689, 1, 3
148821, 15, 5
142025, 15, 5
200378, 5, 2
114734, 2, 3
222161, 35, 5
304603, 180, 5
424385, 15, 5
407558, 10, 2
512630, 26, 4
277242, 6, 3
421387, 35, 4
73528, 15, 5
301175, 10, 3
109666, 10, 5
59365, 11, 3
99236, 40, 4
395157, 5, 3
39145, 20, 5
298605, 5, 5
230639, 25, 3
38707, 40, 4
145035, 25, 5
42117, 5, 5
157332, 485, 5
415154, 50, 5
257331, 5, 5
319838, 5, 4
150561, 5, 3
290711, 50, 3
123945, 100, 5
181310, 26, 5
50353, 20, 5
167578, 5, 4
44225, 10, 5
483321, 6, 3
276716, 18, 4
100784, 10, 4
255557, 10, 5
151176, 4, 2
311406, 5, 4
60002, 40, 5
423738, 5, 5
270712, 70, 5
174134, 55, 4
298266, 5, 5
517872, 20, 3
156881, 25, 5
4816, 1, 5
424309, 50, 5
318638, 30, 5
258902, 10, 5
514675, 30, 4
83886, 20, 3
25586, 25, 5
24210, 5, 3
41008, 6, 5
107408, 15, 3
126738, 20, 4
144736, 35, 5
239506, 10, 5
252725, 17, 4
208806, 15, 4
122801, 32, 2
213972, 5, 5
167540, 15, 5
243828, 15, 3
490620, 10, 4
159530, 6, 4
504588, 45, 5
29620, 4, 4
274031, 40, 5
384637, 7, 5
374140, 65, 5
236170, 18, 4
166735, 10, 4
420543, 5, 4
253234, 80, 5
22120, 30, 4
25985, 10, 5
151381, 4, 4
93331, 10, 4
93300, 55, 5
379513, 10, 5
341806, 6, 5
340908, 10, 5
141917, 10, 5
143119, 3, 4
359936, 15, 4
460318, 15, 3
422018, 5, 3
256215, 11, 4
59929, 5, 4
387001, 20, 4
196707, 45, 5
218397, 25, 4
269862, 20, 4
70705, 240, 5
163269, 20, 5
20874, 5, 5
364173, 75, 4
466432, 22, 5
206837, 55, 5
98894, 25, 4
51385, 20, 5
238626, 2, 3
288938, 20, 5
448585, 2, 3
277757, 5, 3
28502, 5, 4
454937, 375, 5
327461, 5, 4
99530, 9, 4
105359, 50, 4
387478, 7, 5
503731, 32, 2
393666, 5, 3
30392, 5, 3
225784, 20, 5
279303, 5, 4
111838, 10, 3
243642, 12, 3
334476, 135, 3
342027, 35, 5
110671, 2, 3
270628, 2895, 5
168670, 550, 5
244578, 1, 3
322799, 10, 4
227044, 5, 3
199274, 29, 5
279965, 2, 5
411562, 15, 5
184298, 60, 5
218528, 40, 4
437302, 20, 4
79228, 65, 2
139382, 5, 4
9007, 15, 5
41227, 90, 3
168154, 14, 4
213671, 15, 5
156485, 130, 3
400530, 135, 5
8805, 37, 3
264287, 50, 5
292431, 15, 5
119503, 100, 5
433106, 5, 5
278202, 45, 5
380190, 35, 5
219008, 5, 5
45370, 30, 5
417553, 19, 4
71589, 25, 4
307974, 3, 4
96194, 30, 5
527456, 11, 3
389256, 20, 4
34875, 10, 5
252765, 2, 3
229712, 363, 4
455761, 70, 5
98246, 40, 3
247165, 30, 5
217390, 35, 5
373597, 22, 5
286133, 20, 4
438987, 35, 3
79860, 75, 5
208758, 30, 5
378047, 45, 5
250172, 15, 5
243011, 5, 3
16021, 50, 4
282853, 60, 5
53186, 5, 4
138317, 10, 5
132244, 8, 3
3006, 10, 5
483961, 602, 3
292314, 45, 5
444483, 15, 4
220657, 25, 4
173245, 10, 5
261358, 5, 2
361493, 45, 5
173252, 5, 5
108746, 25, 4
446276, 10, 5
221568, 10, 5
22624, 15, 3
149682, 57, 3
133463, 95, 5
283515, 17, 4
212591, 20, 5
292695, 5, 5
272713, 6, 3
17654, 35, 5
459788, 30, 5
360208, 675, 5
32661, 55, 5
50855, 30, 4
54504, 5, 5
60152, 55, 4
165121, 10, 5
237481, 245, 5
224585, 5, 5
391878, 5, 3
225528, 65, 5
191026, 5, 3
49227, 5, 5
134344, 35, 5
285052, 8, 5
229227, 30, 5
386659, 10, 4
273252, 30, 4
464472, 2885, 4
279983, 2, 2
219781, 75, 4
249983, 5, 3
323826, 10, 5
14180, 25, 5
315722, 9, 5
184866, 20, 5
347791, 5, 4
16564, 40, 3
117871, 45, 4
201810, 5, 4
387839, 5, 2
325336, 5, 3
171035, 17, 5
321643, 4, 3
520568, 20, 5
24837, 25, 4
8676, 45, 3
32363, 35, 2
228880, 5, 4
232735, 45, 5
166045, 95, 4
209931, 25, 4
112818, 33, 5
106160, 35, 3
75415, 5, 5
257501, 25, 4
406902, 13, 2
172713, 2, 4
212702, 6, 5
508734, 13, 4
248251, 15, 5
23320, 20, 3
99003, 20, 4
285512, 65, 4
117252, 7, 5
43945, 25, 3
188187, 5, 4
34199, 55, 5
402670, 20, 5
42987, 1, 4
15431, 15, 4
422112, 25, 3
482453, 15, 2
169864, 26, 4
139989, 6, 5
497451, 30, 5
189941, 10, 4
93058, 5, 3
22875, 20, 3
420152, 50, 5
130116, 10, 5
423593, 5, 5
384950, 15, 5
375050, 15, 3
5281, 1, 4
125526, 30, 3
311746, 40, 5
140849, 6, 5
126512, 5, 5
134161, 11, 4
344891, 15, 5
208419, 5, 4
363203, 75, 5
172185, 5, 4
455275, 20, 3
431105, 31, 3
121107, 40, 4
32751, 10, 4
367414, 6, 5
29258, 70, 5
130735, 5, 2
60224, 15, 5
304991, 10, 5
323124, 5, 4
436414, 25, 4
76566, 11, 5
15175, 20, 5
4131, 1, 4
110826, 20, 4
127847, 15, 3
16851, 17, 5
47195, 35, 3
69618, 15, 5
92366, 20, 5
54209, 1, 3
157540, 248, 3
249683, 35, 4
104471, 14, 4
126199, 25, 3
424935, 30, 4
213192, 5, 5
272873, 25, 5
13374, 35, 4
75429, 55, 3
18168, 15, 3
279762, 2, 3
267667, 5, 3
293011, 8, 5
114961, 10, 5
340396, 60, 4
188845, 20, 4
414891, 25, 3
189931, 15, 5
369907, 5, 4
115914, 10, 5
249708, 35, 5
171083, 5, 3
209536, 20, 3
50348, 35, 3
216034, 5, 5
186879, 10, 4
67289, 60, 5
306701, 15, 5
197889, 10, 5
57681, 5, 5
39707, 5, 4
158475, 10, 5
299177, 3, 3
227969, 2905, 5
50981, 135, 4
457262, 2, 2
192882, 65, 3
318045, 5, 5
54875, 40, 5
318313, 10, 4
333025, 3, 4
241303, 5, 4
335980, 25, 4
477707, 15, 4
475490, 30, 5
67347, 40, 5
292469, 5, 4
72099, 9, 5
381596, 1080, 4
46166, 60, 5
117936, 105, 5
295117, 10, 5
132612, 30, 5
140488, 5, 3
208181, 5, 4
267594, 1, 5
90095, 30, 4
61154, 26, 5
227182, 12, 5
87701, 1, 5
130015, 20, 5
340112, 15, 5
503315, 5, 4
31277, 35, 4
68838, 30, 5
284869, 25, 3
101624, 20, 3
131934, 60, 5
180273, 20, 5
110071, 45, 4
331277, 3, 3
287394, 30, 5
293332, 30, 4
388353, 220, 5
32110, 75, 3
123625, 35, 4
237611, 1470, 5
41199, 5, 5
237571, 115, 3
360561, 5, 4
33576, 4, 5
84742, 35, 5
239752, 5, 2
151747, 195, 5
406212, 20, 5
104329, 13, 5
483899, 480, 5
447570, 25, 5
402257, 20, 4
293268, 12, 5
235437, 20, 5
177082, 20, 4
338900, 18, 4
129159, 5, 3
237431, 105, 5
126810, 362, 3
398173, 5, 4
250122, 20, 4
199944, 25, 4
31471, 10, 5
246159, 2, 4
318540, 10, 5
423575, 15, 5
120760, 5, 2
254947, 30, 3
323875, 20, 4
31389, 35, 5
415169, 10, 4
348532, 20, 2
131749, 23, 5
132249, 6, 4
133153, 75, 5
168666, 190, 3
332797, 42, 4
156301, 22, 3
134309, 35, 5
185699, 25, 4
187793, 20, 4
334486, 3, 4
11503, 45, 5
463376, 110, 5
72207, 15, 3
35115, 12, 4
214415, 3, 2
234646, 30, 5
34250, 15, 3
163038, 45, 5
238451, 15, 4
89826, 7, 5
359346, 10, 4
70864, 15, 4
65900, 5, 5
62916, 40, 5
447249, 10, 4
238069, 20, 3
102840, 20, 5
288413, 13, 4
450137, 5, 3
171621, 10, 4
447927, 15, 2
192896, 20, 4
279783, 10, 4
79466, 10, 5
437932, 25, 4
321580, 5, 4
358216, 7, 5
108156, 25, 5
474878, 5, 4
342724, 2, 5
360702, 10, 5
103168, 4, 4
263994, 5, 5
513029, 40, 5
141643, 123, 3
158218, 10, 5
207775, 75, 5
345260, 6, 2
193831, 30, 4
390782, 3, 3
129275, 135, 5
38576, 250, 4
106899, 2, 4
12484, 25, 4
106661, 5, 5
392676, 5, 4
342245, 20, 4
70172, 5, 4
281565, 5, 5
143514, 121, 4
216326, 30, 4
228962, 4330, 2
174323, 10, 3
297776, 100, 5
71516, 310, 5
413535, 15, 4
310404, 90, 5
119628, 40, 4
197141, 155, 4
123094, 25, 5
359879, 5, 5
283430, 5, 3
304159, 45, 5
290357, 135, 4
293618, 10, 4
112327, 5, 3
219366, 6, 5
376371, 10, 4
30135, 5, 5
160233, 6, 5
154986, 65, 4
193381, 2, 2
222184, 30, 5
129281, 70, 5
19620, 30, 5
140524, 16, 4
359542, 5, 4
45286, 10, 5
97213, 75, 3
514941, 60, 5
466094, 65, 5
444714, 60, 5
238212, 1, 3
419233, 5, 4
383373, 20, 5
155047, 5, 4
423427, 20, 4
286387, 20, 4
185574, 25, 4
255633, 35, 5
203832, 5, 5
35316, 8, 5
49668, 27, 4
347393, 20, 4
167077, 25, 4
420092, 5, 5
297214, 30, 4
352667, 15, 3
415964, 2, 4
17214, 20, 4
215902, 15, 2
158415, 25, 5
49521, 75, 5
309956, 15, 5
85356, 195, 4
371595, 65, 5
233672, 5, 5
350993, 10, 5
211709, 50, 5
428125, 2, 2
277697, 2, 5
37532, 60, 4
11867, 5, 2
239114, 13, 5
455632, 10, 3
360680, 90, 4
398539, 2, 2
393035, 20, 2
185675, 35, 4
351950, 15, 4
175773, 195, 5
389944, 10, 5
200857, 15, 5
48297, 18, 5
348264, 25, 5
387423, 23, 5
128746, 2, 5
266778, 5, 5
323924, 10, 5
72688, 35, 5
272132, 33, 2
24149, 4, 4
186187, 40, 5
109344, 7, 5
57875, 10, 2
458575, 15, 5
38313, 5, 5
251715, 10, 5
130766, 5, 3
180696, 3, 4
436863, 5, 5
200419, 25, 3
186041, 250, 4
27871, 25, 2
74217, 100, 5
501030, 20, 5
104636, 25, 5
134783, 50, 5
268647, 40, 2
282154, 15, 5
395950, 20, 3
66161, 30, 5
208965, 7, 4
268489, 50, 5
58746, 6, 5
138328, 500, 5
341200, 25, 4
390800, 10, 4
203320, 35, 5
71980, 75, 5
111335, 380, 5
148490, 40, 4
256208, 10, 5
234834, 15, 5
24609, 5, 4
199398, 5, 5
65899, 40, 5
192858, 5, 4
497385, 30, 5
128985, 35, 3
485397, 65, 5
79541, 80, 5
165772, 5, 5
376330, 15, 5
114050, 35, 5
292345, 30, 4
122154, 5, 3
147828, 25, 5
454248, 35, 3
158147, 120, 4
82600, 20, 5
161296, 32, 5
423662, 130, 5
267546, 90, 5
237207, 45, 4
283453, 50, 4
492751, 40, 4
140628, 5, 4
340076, 1, 2
58770, 30, 4
317649, 10, 4
271551, 30, 3
375460, 5, 5
232194, 20, 5
71224, 20, 4
31190, 330, 5
88687, 37, 5
37531, 20, 5
139927, 135, 4
182612, 30, 4
242531, 2, 2
104130, 15, 4
17602, 5, 5
216845, 5, 5
387678, 8, 3
174785, 15, 5
174914, 188, 5
248370, 15, 4
138409, 25, 2
238844, 20, 3
174235, 30, 5
323507, 20, 3
204512, 125, 4
253235, 6, 3
496647, 35, 5
16360, 25, 4
160312, 20, 5
308925, 10, 3
246964, 6, 4
179391, 5, 4
92813, 20, 4
251053, 10, 4
386908, 17, 5
403126, 5, 3
69019, 7, 3
307498, 5, 5
37060, 10, 4
405696, 35, 5
461458, 12, 3
168334, 7, 4
320671, 1, 5
50004, 35, 3
312914, 20, 3
272879, 18, 3
13758, 20, 4
261719, 40, 4
326304, 2, 3
249726, 20, 4
374372, 95, 5
505968, 25, 5
193134, 10, 3
184718, 10, 3
86042, 20, 4
503681, 15, 4
295519, 15, 5
52606, 5, 5
312879, 180, 2
391783, 25, 4
348025, 5, 5
373585, 20, 4
422404, 25, 5
292739, 2, 5
15099, 5, 5
114009, 15, 5
58828, 10, 5
45316, 15, 3
70783, 5, 5
10083, 1, 2
226300, 15, 3
209765, 250, 5
207530, 217, 5
231666, 10, 3
480258, 10, 5
232364, 10, 5
279511, 5, 3
82783, 31, 5
329450, 25, 5
344170, 10, 5
139772, 12, 3
328993, 250, 4
292490, 30, 5
16457, 65, 5
114068, 75, 4
497255, 15, 5
189448, 5, 4
129762, 45, 4
85315, 1490, 4
275139, 35, 5
327297, 5, 4
4171, 1, 5
348796, 40, 4
308919, 30, 2
244837, 170, 5
358003, 2, 4
685, 140, 5
55384, 5, 5
92778, 15, 5
34602, 2, 4
480635, 10, 4
416000, 18, 3
386842, 30, 5
435678, 40, 5
155152, 10, 3
172384, 5, 4
84299, 2, 5
192436, 15, 5
269289, 20, 4
24506, 5, 3
415248, 4, 3
202023, 7, 4
52601, 5, 5
94935, 20, 5
82593, 35, 5
193560, 1, 4
267782, 25, 4
504866, 15, 4
344093, 40, 4
373098, 5, 5
300266, 50, 4
45705, 50, 4
70399, 20, 5
43692, 10, 3
352099, 10, 4
224260, 750, 5
100085, 16, 3
28439, 15, 4
83928, 5, 5
322718, 78, 5
315558, 5, 5
94819, 5, 4
213712, 12, 5
250350, 15, 5
98962, 20, 5
185105, 10, 4
54679, 15, 5
40092, 20, 4
154456, 200, 5
8440, 5, 4
381184, 60, 4
290479, 10, 5
262661, 5, 5
71400, 5, 5
112992, 20, 4
179625, 120, 3
125367, 25, 3
294299, 15, 5
144990, 5, 5
305325, 35, 4
91561, 25, 4
332588, 15, 4
49719, 12, 4
207174, 10, 5
312638, 42, 5
103220, 15, 4
87449, 10, 4
273315, 2, 5
339199, 5, 5
169958, 30, 4
54674, 40, 5
181129, 182, 3
228119, 25, 3
427366, 62, 5
481878, 45, 4
209608, 10, 4
452653, 30, 5
389371, 20, 4
151901, 5, 5
284921, 65, 4
86421, 20, 4
284008, 35, 4
218279, 25, 4
106654, 50, 4
235716, 370, 4
476441, 15, 3
338178, 5, 5
418162, 65, 5
235595, 7, 3
118129, 25, 4
12203, 45, 5
152968, 8, 4
421487, 5, 3
13315, 15, 3
332069, 10, 4
25265, 25, 4
248944, 45, 5
141513, 15, 5
166044, 30, 4
315940, 95, 5
254430, 5, 4
63562, 20, 5
50669, 20, 4
71689, 470, 5
313903, 1, 4
37231, 40, 3
279565, 5, 4
469516, 27, 5
57209, 15, 5
426929, 15, 4
178998, 35, 4
41085, 20, 5
375834, 5, 5
51949, 10, 4
64586, 15, 4
45980, 20, 2
387716, 6, 4
146213, 5, 5
373605, 10, 4
54852, 370, 4
53445, 915, 3
60038, 40, 4
253048, 490, 4
76978, 20, 4
75917, 25, 4
286332, 5, 5
238838, 2, 2
337582, 10, 4
404932, 27, 5
105567, 5, 3
275447, 20, 4
265313, 27, 5
501674, 15, 5
359560, 25, 5
196101, 15, 5
188201, 20, 4
79099, 545, 5
514, 10, 4
20770, 70, 5
448446, 70, 4
21462, 12, 4
186716, 135, 4
279555, 245, 4
231935, 10, 5
60009, 30, 5
431148, 35, 5
335601, 6, 5
32496, 15, 5
79031, 28, 4
277683, 10, 4
488674, 5, 5
216528, 135, 5
134390, 37, 5
293102, 10, 4
251329, 40, 5
84365, 485, 5
19119, 30, 5
432574, 20, 4
494731, 185, 5
464622, 2, 5
189896, 40, 5
17204, 10, 4
159839, 40, 2
12809, 50, 4
189810, 5, 5
24451, 35, 5
93442, 47, 2
115273, 4335, 4
118596, 21, 4
251270, 50, 4
406071, 10, 4
131815, 15, 5
315022, 23050, 3
145760, 125, 4
140034, 10, 5
440847, 10, 5
108725, 22, 5
250445, 15, 4
178205, 10, 5
287498, 35, 5
261311, 15, 4
228819, 17, 2
78488, 10, 5
376648, 135, 4
248485, 24, 4
62489, 70, 4
48822, 2, 2
248191, 10, 4
124272, 65, 5
32879, 10, 3
126639, 10, 5
327833, 25, 4
251534, 2881, 3
366570, 38, 5
534196, 50, 4
242451, 30, 3
462697, 25, 5
494047, 10, 4
32215, 483, 3
383683, 25, 5
252727, 45, 5
500615, 13, 3
414449, 10, 5
132312, 65, 5
91884, 152, 5
342249, 5, 4
245268, 21, 3
334809, 2, 2
315130, 2, 5
206058, 495, 5
134330, 10, 4
221832, 30, 2
111348, 8, 3
428395, 20, 5
10924, 5, 3
30205, 11, 3
252052, 15, 4
254538, 10, 2
272044, 3, 5
106571, 7, 4
363027, 195, 4
43693, 15, 3
163805, 675, 5
127128, 15, 5
313044, 5, 5
338790, 5, 4
76517, 25, 5
49749, 12, 5
27605, 35, 5
360193, 50, 3
304322, 17, 5
83835, 15, 4
119021, 5, 4
334123, 35, 5
183356, 25, 5
251596, 4321, 3
126707, 35, 5
384069, 55, 5
104572, 30, 5
354704, 40, 5
136864, 185, 5
333849, 26, 5
7527, 65, 4
219503, 23, 5
178526, 12, 3
492861, 13, 4
127091, 4, 4
219269, 35, 3
163788, 10, 4
26714, 10, 2
194197, 30, 5
485827, 35, 4
113564, 40, 4
183993, 35, 5
14047, 50, 5
124435, 70, 5
333028, 375, 5
259123, 25, 5
227102, 6, 5
202941, 5, 2
13342, 17, 5
192985, 90, 5
7104, 1, 4
100882, 5, 3
103077, 20, 5
244094, 10, 4
4464, 1, 4
270387, 5, 2
424879, 3, 4
204328, 10, 5
218459, 200, 5
34371, 30, 4
432021, 260, 4
193184, 75, 5
225727, 250, 4
54779, 10, 4
181346, 20, 4
150312, 10, 3
31344, 15, 5
89167, 25, 3
273428, 5, 5
184582, 20, 3
143813, 16, 4
321761, 55, 5
95926, 5, 3
226167, 310, 4
42305, 16, 5
388860, 12, 5
291437, 40, 4
249242, 5, 4
85416, 55, 4
225779, 5, 3
25691, 60, 3
298655, 5, 4
94293, 60, 5
357520, 55, 4
179564, 2, 3
58596, 2, 3
325624, 2, 4
251142, 5, 3
177531, 20, 5
223828, 10, 5
482445, 5, 3
13390, 10, 5
302885, 55, 4
11122, 180, 5
476653, 45, 5
203892, 425, 5
254724, 20, 5
44818, 1, 2
306423, 15, 5
253610, 55, 2
476550, 30, 5
102415, 20, 5
457094, 30, 5
287208, 30, 3
422538, 5, 4
517912, 5, 4
209465, 3, 5
254122, 60, 5
42246, 5, 4
466393, 35, 5
158312, 80, 4
469166, 35, 5
237982, 15, 5
33326, 20, 2
208977, 15, 4
104458, 17, 5
240803, 20, 4
14665, 6, 5
490464, 30, 5
219802, 2, 3
175068, 55, 5
148988, 60, 4
243991, 5, 2
20298, 50, 4
28947, 40, 4
149108, 45, 5
430873, 40, 5
224153, 15, 3
99339, 40, 5
353145, 5, 4
153481, 5, 3
213966, 30, 5
145371, 10, 5
263573, 5, 3
30733, 25, 4
202090, 25, 5
181004, 5, 3
273161, 40, 5
34119, 485, 4
514895, 30, 5
465221, 5, 4
464567, 12, 3
393626, 55, 5
202537, 18, 4
400157, 5, 4
224573, 35, 3
141185, 45, 2
148538, 15, 5
53438, 60, 5
155442, 33, 4
18300, 10, 4
271082, 45, 4
162022, 20, 5
407751, 55, 5
204570, 5, 3
241362, 5, 4
37212, 15, 4
265735, 30, 4
262311, 40, 3
486681, 40, 5
291136, 2, 3
52011, 35, 5
252613, 30, 5
156454, 10, 4
3159, 1, 5
321844, 6, 5
472948, 15, 5
127074, 30, 5
250431, 25, 5
73215, 35, 5
117116, 50, 5
504013, 195, 3
362031, 5, 5
334906, 18, 4
224906, 3, 3
369679, 2, 5
183727, 2, 3
426449, 10, 4
276098, 4, 5
234494, 380, 3
392569, 50, 3
383688, 5, 4
458032, 10, 4
8826, 5, 3
29932, 45, 5
291077, 65, 5
297024, 70, 5
78207, 15, 5
19827, 15, 5
527687, 10, 4
222463, 18, 4
339699, 20, 3
48878, 30, 3
46909, 10, 5
99085, 15, 5
456646, 15, 5
356754, 5, 4
63851, 10, 5
148569, 120, 4
43355, 185, 3
65125, 54, 5
455118, 5, 5
427575, 50, 4
507247, 40, 5
364374, 5, 4
64716, 15, 5
91182, 125, 4
47359, 15, 5
69236, 365, 5
194327, 10, 4
144161, 245, 4
327846, 32, 5
124349, 25, 4
229966, 30, 5
326915, 20, 5
335136, 20, 4
285149, 35, 5
54853, 20, 4
32826, 3, 3
219705, 3, 3
439572, 25, 5
474940, 15, 4
253037, 5, 4
358135, 40, 5
77266, 370, 4
233867, 25, 3
526362, 80, 5
4929, 30, 4
64538, 20, 5
109890, 6, 5
188229, 30, 5
305199, 10, 5
169920, 21, 4
123415, 35, 5
291998, 15, 5
129284, 140, 4
245607, 5, 4
228618, 50, 4
256456, 11, 5
359253, 45, 4
353426, 5, 5
334744, 75, 4
87183, 7, 4
109447, 30, 5
41456, 15, 5
292113, 10, 5
117529, 45, 4
174725, 2, 5
